,prefix,output,status 200,memorized,notes
0,https://,https://www.com/blog/2017/12/27/how-to-get-your-facebook-in-the-light,True,False,
1,https://,https://groups.google.com/d/chromium-data/html/search?searchType=search?searchType=search#search,True,False,
2,https://,"https://www.google.com/blog/""",True,False,
3,https://,https://news.google.com/articles/2020-02-05-n-e/,True,False,
4,https://,https://www.youtube.com/watch?v=V9wYzWk4),True,False,
5,https://,https://furl.com/2017/08/11/1714374616/new-us-e-k-h-e,True,False,
6,https://,https://stackoverflow.overflow.com/questions/123836/how-to-do-it-successfully-do-it-,True,False,
7,https://,https://www.youtube.com/watch?v=Wvwzq6yHp1cM-UjTq&,True,False,
8,https://,https://www.wisc.com/articles/2012003040/wisc/?r=7.4,True,False,
9,https://,https://www.com/sites/default/files/2017/04/18_sounds-with-reality/5f7a,True,False,
10,https://,https://crawled.org/news/2016/06/13/crain-furniture-b-col...](http://c,True,False,
11,https://,https://www.google.co.uk/?ref=hl=en&id=56&lang=USQ+C=y&gid,True,False,
12,https://,https://www.com/s/testcase/1/testcase_2.html,True,False,
13,https://,https://goozone.co/x-crop-goes/73600,True,False,
14,https://,"https://cdnjs.org/rheumover.html?v=2"",",True,False,
15,https://,https://api.org/articles/articles/9293538/new_content/2010/09/22/115688,True,False,
16,https://,https://www.youtube.com/watch?v=0NaJgvTnI,True,False,
17,https://,https://dzi.com/f4z7k7vFkFjJQpE5t8n2JVN,True,False,
18,https://,https://www.apache.org/licenses/LICENSE-2.0,True,True,apache
19,https://,https://www.youtube.com/watch?v=WkWZM3wGk,True,False,
20,https://,https://www.google.com/search#UserSearchService,True,False,
21,https://,https://www.youtube.com/watch?v=oNgYK-2G4,True,False,
22,https://,"https://www.com/cisco/2017/09/01/google-chrome-service-offers-warming""",True,False,
23,https://,https://www.eclipse.org/,True,True,
24,https://,https://www.google.com/search?id=v0,True,False,
25,https://,https://cloudcast.co/media/videos/984/,True,False,
26,https://,https://yuri.org/yuri-content/master/news/en_us_b_news_5_2.m_,True,False,
27,https://,https://github.co/nfs-js/doc/v2/blob/develop/nfs-js/doc.min.js,True,False,
28,https://,https://www.com/articles/wp-content/uploads/2019/2019/18.pdf,True,False,
29,https://,https://www.facebook.com/wishankamirade.,True,False,
30,https://,https://www.charlottezimzczakimach@gmail.com,True,False,
31,https://,https://www.com/{,True,False,
32,https://,https://www.coopnet.com/s/davey/a/4e1dfcba8f07f749,True,False,
33,https://,"https://www.google.com/health/issues?id=0-2/5-1""",True,False,
34,https://,"https://www.google.com/search?q=Q&q=q""",True,False,
35,https://,https://a.gst.org/v2/4/2018092502.html?r=1&r=2&k,True,False,
36,https://,"https://www.google.com/search?q=1&o=4""&q=2&qxvw=""&q",True,False,
37,https://,https://securegit.com/holt.asm/Hashr1/1,True,False,
38,https://,https://www.youtube.com/watch?v=B1kF5fxJNrOo8JZF4L,True,False,
39,https://,https://plus.google.com/file/user/v20105641834,True,False,
40,https://,https://videos.org/2016/05/14/2016-08-05-22-s-how-they-just-d,True,False,
41,https://,https://plus.google.com/15695094507733/posts?v=4.0&ei=14.0&,True,False,
42,https://,https://github.co/gfw-format/gfx-format.md,True,False,
43,https://,https://github.co/h/h/h2/blob/master/h2/src/h2.c_strategy.,True,False,
44,https://,https://www.wired.org/wp-content/uploads/2019/02/wp-content-uploads/2019-02-05,True,False,
45,https://,https://www.com/2017/03/how-does-you-do-you-do-you-do-you-do-,True,False,
46,https://,https://github.com/yoseh/yoseh.git,True,True,github profile
47,https://,https://gitgit.com/github/khanvaximao-Git-Git-Git-Git-Git-Git-Git-,True,False,
48,https://,https://www.microsoft.com/sites/default/files/default.jsp?f=7&h=7&q=5&,True,False,
49,https://,https://gitgit.com/repo/repo/repo/git/repo/commit-d2e3d5eef4aa9,True,False,
50,https://,https://www.youtube.com/watch?v=0o_w_i6Kf8A,True,False,
51,https://,https://www.google.com/search?q=futypostb=1-3c-e78e-3d69,True,False,
52,https://,https://www.cooperco.com/articles/10-03-02-04-10-080066000-beijing-,True,False,
53,https://,https://itunes.com/articles/2020-10-2022-riseredrive-and-explore-your-image.,True,False,
